Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Empresa,Tipo,Unidade,Regional,Mês,Mês_nome,Ano,NS10,NS15,NS30,Volume_Atendido,TME,TMA,%_NS10,%_NS15,%_NS30
,,EQTL MA,AGENCIA,ACAILANDIA,SUL,1,jan,2024,0,0,0,2930,00:00:23.802000,00:03:51.875000,0.9993174061433447,1,1
,,EQTL MA,AGENCIA,ALTO PARNAIBA,SUL,1,jan,2024,0,0,0,653,00:00:10.957000,00:02:02.989000,1,1,1
,,EQTL MA,AGENCIA,AMARANTE DO MARANHAO,SUL,1,jan,2024,0,0,0,658,00:00:15.150000,00:03:34.971000,0.9984802431610942,1,1
,,EQTL MA,AGENCIA,ANJO DA GUARDA,NORTE,1,jan,2024,0,0,0,3820,00:07:06.137000,00:04:26.575000,0.6070680628272251,0.9945026178010471,1
,,EQTL MA,AGENCIA,ARAIOSES,NORTE,1,jan,2024,0,0,0,656,00:02:31.265000,00:03:52.265000,0.8871951219512195,1,1
,,EQTL MA,AGENCIA,ARAME,SUL,1,jan,2024,0,0,0,477,00:00:15.499000,00:02:42.795000,1,1,1
,,EQTL MA,AGENCIA,BACABAL,CENTRO,1,jan,2024,3077,3663,3669,3669,00:05:46.929000,00:04:33.507000,0.8386481330062687,0.9983646770237122,1
,,EQTL MA,AGENCIA,BALSAS,SUL,1,jan,2024,0,0,0,2850,00:01:34.127000,00:03:57.143000,0.9778947368421053,1,1
,,EQTL MA,AGENCIA,BARRA DO CORDA,CENTRO,1,jan,2024,2443,2461,2461,2461,00:00:54.504000,00:03:59.482000,0.9926859000406338,1,1
,,EQTL MA,AGENCIA,BARREIRINHAS,NORTE,1,jan,2024,0,0,0,2051,00:03:26.660000,00:03:57.548000,0.8659190638712823,0.999512432959532,1
,,EQTL MA,AGENCIA,BOM JARDIM,CENTRO,1,jan,2024,743,743,743,743,00:00:28.475000,00:01:24.167000,1,1,1
,,EQTL MA,AGENCIA,BREJO,LESTE,1,jan,2024,330,338,339,339,00:01:55.381000,00:04:34.808000,0.9734513274336283,0.9970501474926253,1
,,EQTL MA,AGENCIA,BURITI,LESTE,1,jan,2024,273,274,274,274,00:00:27.310000,00:03:53.599000,0.9963503649635036,1,1
,,EQTL MA,AGENCIA,BURITI BRAVO,LESTE,1,jan,2024,364,364,364,364,00:00:16.091000,00:03:30.088000,1,1,1
,,EQTL MA,AGENCIA,BURITICUPU,SUL,1,jan,2024,0,0,0,1493,00:01:46.634000,00:03:39.704000,0.9872739450770261,1,1
,,EQTL MA,AGENCIA,CAROLINA,SUL,1,jan,2024,0,0,0,766,00:00:06.884000,00:02:18.211000,1,1,1
,,EQTL MA,AGENCIA,CAXIAS,LESTE,1,jan,2024,2866,2883,2886,2886,00:01:00.604000,00:04:29.762000,0.9930699930699931,0.998960498960499,1
